OBJECTID,ZoningDistrict,CaseNumber,CaseName,EnergovID,RemainingGFA,ChangeTrigger,GISAcreage,MagistDist,GlobalID,CreateUser,CreateDate,LastEditUser,LastEditDate,ProjectStatus,CampusName,PlannedGFA,DCOOD,ShapeSTArea,ShapeSTLength
1,PBD,REZ2022-00036,Compass Datacenters PWC Campus 1,a3bccddf-fb99-4d00-9e2b-41916f8455aa,11555200,1,884.07298313,Gainesville,{AE1F205A-FA23-4285-B26C-73C28C598161},,,RFH7157A,2025/09/19 17:38:02+00,Planned,Compass Datacenters PWC,11555200,No,38510219.1453281,63075.5860685715
2,PBD,REZ2022-00032,Digital Gateway North,b0fcafed-a7f4-4ea1-8f83-e71a94ebf4f9,7000000,1,534.08217907,Gainesville,{E746E948-9853-4A6B-B908-3365AC071520},,,RFH7157A,2025/06/13 19:13:47+00,Planned,Digital Gateway North,7000000,No,23264619.7204101,32389.0118203997
3,PBD,REZ2022-00033,Digital Gateway South,1737b24a-1664-4972-b370-c2436b052e63,3700000,1,341.48694512,Gainesville,{395B3DD8-922A-4070-8A14-ABC49828F028},,,RFH7157A,2025/06/13 19:13:47+00,Planned,Digital Gateway South,3700000,No,14875171.3295148,24239.6758180254
4,PBD,REZ2018-00008,Gainesville Crossing,e84871aa-43c8-4189-9b23-16244c45106e,1499420,1,129.75460809,Gainesville,{DBC2517E-4857-499F-9CAC-57097887B33A},,,,,Under Construction,CorScale Gainesville Crossing,1981643,No,5652187.66586735,9899.99799071069
5,M-2,REZ2020-00011,Gainesville Tech Park,01fffe17-1fdc-46e3-bd5c-f5795320e7e6,1245499,1,93.90447112,Brentsville,{9F24BCFB-0084-40CB-9262-018A3CB6B47F},,,,,Under Construction,Microsoft Azure Gainesville Tech Park,1245499,Yes,4090478.76200404,11225.0617810065
6,M-2,REZ2020-00022,Hunter Property Rezoning,5e3ce4e4-642b-43e6-bb7a-479890b881f5,4010000,1,196.02451409,Brentsville,{307EAC4E-1981-4F96-9D18-B5353B54CD08},,,,,Planned,Hunter Property,4010000,Yes,8538827.83369097,21202.4118078275
7,M-2,REZ2022-00022,Devlin Technology Park,323d298e-a0ad-4dc7-accd-f6b27b404c50,3530000,1,269.68964486,Brentsville,{E47DD13E-C767-4E43-B277-9785EF7CBA04},,,,,Planned,Devlin Technology Park,3530000,Yes,11747674.7821873,16749.7196522158
8,M-1,REZ1958-0021,BOCS,7b3b0a5f-c395-47c0-99c0-eb53f411acb3,1750000,1,181.28706134,Brentsville,{EC42E5F1-B699-4130-AAFC-19E670669292},,,,,Planned,Google Prince William County,1750000,Yes,7896668.59676957,12067.2131775719
9,M-1,REZ1958-0021,BOCS,7b3b0a5f-c395-47c0-99c0-eb53f411acb3,5818876,1,234.35615394,Brentsville,{095F20E7-69BA-46E5-B973-0C912C5201F0},,,RFH7157A,2026/04/02 11:51:12+00,Under Construction,University Business Park,5818876,Yes,10208195.1089567,13923.2602452628
10,PBD,REZ2019-00025,Westview 66,17be9cd0-9800-4877-8c96-5520b706db82,1145989,1,40.54649791,Gainesville,{8B8402BF-FB4E-400D-988B-352A4608E193},,,,,Under Construction,Microsoft Azure Balls Ford Road,1145989,Yes,1766240.72249472,6354.99799620062
11,M-2,REZ2017-00023,Aura Development,635db761-516c-4b17-8de3-4283b79a94da,2138607,1,253.92331949,Brentsville,{8EF763F4-B69E-4ED3-87C8-2A617AB66ED4},,,,,Under Construction,Yondr Bristow,2427137,Yes,11060795.5348208,14353.8256891982
12,M-2,REZ1989-0069,Wellington South,3e7c27b9-d412-4ed3-9db7-33be4a5706d8,0,1,23.49746517,Brentsville,{DAD19FCA-4163-421F-94B1-30B00D4F9C95},,,,,Completed,Amazon Wellington South,297160,Yes,1023549.10083439,4365.54476562757
13,M-2,REZ2020-00021,South Point Phase II,50945ad4-3eb2-48ff-be0f-fbede2cfd419,399966,1,22.21686134,Brentsville,{390A3DDC-0294-4A94-9370-6F4B2BAF41B9},,,,,Under Construction,South Point Phase II,530000,Yes,967787.443283814,4691.73092147212
