X,Y,OBJECTID,GlobalID,GPIN,BuildingName,PID,Address,BuildingID,BuildingStatus,YearBuilt,GFASource,PermitCase,PermitStatus,GFA,DCOOD,OCCDate,BPGFA,EnergovID,CreateUser,CreateDate,LastEditUser,LastEditDate,ApprovedGFA,PermittedGFA,REATaxedGFA,PlanningCaseNumber,PlanningCaseName,PlanCaseEnergovID
11754484.5728253,6967693.30557917,1,{576962EA-D255-464A-9AFD-C96A2AB6EFE4},7596-47-5780,Iron Mountain Data Center VA-1,P941363702,11680 HAYDEN RD,VA1,Completed,2017,,BLD2017-00581,Finaled,0,Yes,2017/09/24 00:00:00+00,165230,18cc783b-67dd-4a38-8bda-00ea9132d778,,,PLANNING,2026/02/26 16:40:06+00,,,165230,,,
11754806.7263804,6967424.48196983,2,{987D444C-6551-4232-A6F6-DF07290505D9},7596-57-4735,Iron Mountain Data Center VA-2,P889929368,11660 HAYDEN RD,VA2,Completed,2019,,BLD2018-04430,Finaled,0,Yes,2019/10/24 00:00:00+00,211000,7c6be09f-a60d-47fc-9792-1381d8d7aa45,,,PLANNING,2026/02/26 16:40:06+00,,,325918,,,
11755196.9191696,6966785.61644967,3,{61655ED7-BF9B-4C7E-8051-C4EB1F2E0DCC},7596-56-1578,Iron Mountain Data Center VA-3,P127342091,11640 HAYDEN RD,VA3,Completed,2024,,BLD2023-00509,Finaled,0,Yes,2024/09/25 00:00:00+00,304654,66b384c9-6b42-478f-a2ef-52db14750511,,,PLANNING,2026/02/26 16:40:06+00,,,389649,,,
11755996.4648146,6966511.31745759,4,{8D769961-AF96-4C44-B380-23E86A0D8CD4},7596-66-0725,Iron Mountain Data Center VA-4,P308324890,11600 HAYDEN RD,VA4,Completed,2024,,BLD2023-03506,Finaled,0,Yes,2025/06/11 00:00:00+00,182032,b5f6cf2d-da22-46e4-a5df-19141a348c0f,,,PLANNING,2026/02/26 16:40:06+00,,,182032,,,
11756282.4862242,6966027.99198067,5,{4FE46474-FA92-496E-9585-DF7A63B7CA56},7596-66-0725,Iron Mountain Data Center VA-5,P820679989,11580 HAYDEN RD,VA5,Completed,2025,,BLD2023-03508,Finaled,0,Yes,2025/06/11 00:00:00+00,220134,d6b8be7a-371a-42d7-a3bf-44062aacbb72,,,PLANNING,2026/02/26 16:40:06+00,,,110067,,,
11756931.2224595,6964214.52382284,6,{5FCAED8A-E600-4927-81CD-25B84893A9F6},7596-64-9220,Iron Mountain Data Center VA-6,P220600003,7745 WELLINGTON RD,VA6,Completed,2025,,BLD2023-05363,Finaled,0,Yes,2025/06/18 00:00:00+00,213000,57dfd424-e661-4885-bb14-0dbf269e433a,,,PLANNING,2026/02/26 16:40:06+00,,,230706,,,
11756613.0800512,6966782.76803017,7,{AFE87A7E-873E-4969-ABDE-A11A0A4AB4AF},7596-66-8266,Iron Mountain Data Center VA-7,P231100000,8330 BETHLEHEM RD,VA7,Completed,2025,,BLD2024-02971,Finaled,0,Yes,2025/11/19 00:00:00+00,290307,73076f13-ab0f-489d-80ae-dc115e5ccaee,,,PLANNING,2026/02/26 16:40:06+00,,,290307,,,
11755856.9719833,6965510.96578376,8,{6DE4E079-0162-4EBA-8DD9-2F6BACE448C8},7596-55-9338,Iron Mountain Data Center VA-8/9,P250100194,11530 ELEVATE DR 100,VA8/9,Planned,,Proffer,<Null>,Planned,347183,Yes,,,,,,RFH7157A,2026/02/02 06:41:16+00,,,,,,
11751501.9505097,6967563.20774226,9,{7C214B4A-419C-4EB9-B1B9-DA3A134B1BD3},7596-17-3979,Amazon AWS IAD-74 Manassas,P759604457,7070 WELLINGTON RD,IAD74,Completed,2016,,BLD2015-22325,Finaled,0,Yes,2016/01/22 00:00:00+00,146962,70394b90-e3ca-4da9-bb30-018d8e02d63d,,,PLANNING,2026/02/26 16:40:06+00,,,148580,,,
11751135.4541954,6967741.38422318,10,{0D4C9AA8-DBCD-4573-A4ED-FEB3591D7AA0},7596-17-3979,Amazon AWS IAD-73 Manassas,P759604461,7060 WELLINGTON RD,IAD73,Completed,2016,,BLD2015-23921,Finaled,0,Yes,2016/07/22 00:00:00+00,146962,cf0071fa-363f-4a3b-beda-071052c60f9e,,,PLANNING,2026/02/26 16:40:06+00,,,148580,,,
11751773.4371714,6967415.86158025,11,{4E307E51-41B6-416A-A8E4-F78A4566B456},7596-27-0053,South Point Phase II Building A,P759604445,8300 BUCKEYE TIMBER DR,A,Completed,2026,Proffer,BLD2024-01532,Finaled,265000,Yes,2026/01/08 00:00:00+00,217934,76068c8f-8f36-4545-955c-a82ff1b20573,,,PLANNING,2026/02/26 16:40:06+00,,,217934,,,
