OBJECTID,latitude,longitude,target_label,MaxGFA
1,38.77773389215846,-77.54738119768257,1,165230.0
2,38.77698661061311,-77.54626100978886,1,325918.0
3,38.775221366715364,-77.54491569979321,1,389649.0
4,38.774445362610095,-77.54212135560239,1,182032.0
5,38.77311011800409,-77.54113586179093,1,220134.0
6,38.76811232722235,-77.53892709568166,1,230706.0
7,38.77517298685604,-77.53994866231011,1,290307.0
9,38.77746120239763,-77.55784772662722,1,148580.0
10,38.77796073494967,-77.55912683890105,1,148580.0
11,38.77704898585767,-77.55690077339753,1,265000.0
13,38.78017587593976,-77.53979224952346,1,147530.0
14,38.778574447103,-77.5394067024197,1,211816.0
15,38.779362415912395,-77.54171051055485,1,148580.0
16,38.7793196670733,-77.54278055010286,1,211816.0
17,38.74677102125373,-77.51642649509986,1,217979.0
18,38.74695123875551,-77.51776614941767,1,233757.0
19,38.747618961998235,-77.51887348791304,1,223757.0
20,38.74830405977576,-77.52005383318505,1,213320.0
22,38.75478605420216,-77.51650603839006,1,310000.0
23,38.75347608079588,-77.51313959853422,0,127000.0
24,38.75374620687585,-77.51054458972119,1,269091.0
27,38.76020441519572,-77.51893728148215,1,204211.0
28,38.76095875961414,-77.51844592774779,1,206626.0
32,38.75856055875588,-77.51668894418366,1,407395.0
34,38.74714658014763,-77.53247232917829,1,247608.0
35,38.74382924098988,-77.53056765742785,1,149904.0
36,38.74405303098864,-77.52909453494362,1,202626.0
37,38.74302380270958,-77.53346554548969,1,226862.0
38,38.74412648825384,-77.53330174537867,1,224652.0
39,38.74494781908107,-77.53317656124494,0,14387.0
40,38.74630341144684,-77.5362596239562,1,281000.0
42,38.74498124274744,-77.53925225652083,1,261686.0
46,38.73453953311337,-77.50648551805115,2,1132540.0
47,38.736913405240585,-77.50392669219487,2,1132540.0
48,38.7352571768484,-77.50538000236739,2,1132540.0
49,38.73602622525516,-77.50486552984894,2,1132540.0
50,38.723267857357605,-77.49896927154879,1,392565.0
51,38.71656716486276,-77.50054061449922,1,460248.0
67,38.79128329968083,-77.53781975295479,1,167193.0
68,38.789761341902505,-77.54821954838384,1,218993.0
69,38.790565898722896,-77.54112156800252,1,167145.0
70,38.79039979656493,-77.54001953752396,0,41786.0
71,38.791212045601974,-77.54845266412028,1,170925.0
72,38.79230651833512,-77.54852067040738,1,171911.0
83,38.80250288211834,-77.58238632091604,1,600000.0
88,38.7697380467085,-77.53979826855603,0,33574.0
94,38.77503709720782,-77.58475464372496,1,288530.0
96,38.77791690581066,-77.59511578785713,1,345968.0
105,38.815562090199464,-77.64860315509858,1,236082.0
106,38.816838858720814,-77.65205216473566,1,141592.0
107,38.8150908902991,-77.65281757749956,1,147187.0
108,38.81593235239642,-77.65237575489417,1,147187.0
109,38.81455634790102,-77.6541571453712,0,17421.0
153,38.804878524415194,-77.51249007004202,1,227465.0
154,38.80332173213471,-77.51087728166868,0,109800.0
